"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
20,26,2.67902889700087,0.0727524383060335,2.53831713954514,2.56049547258631,2.7998086429253,2.678370364113,2.7998086429253,2.7998086429253,2.82348300772793
21,27,2.65903574370787,0.063929472909927,2.53519836075041,2.55476215676938,2.76505690645902,2.65852342296758,2.76505690645902,2.76505690645902,2.78578458196147
22,28,2.33297297114961,0.0533120420714201,2.22964191324306,2.24598050806573,2.42135059503784,2.33256689616892,2.42135059503784,2.42135059503784,2.43861170449265
23,29,2.29543874743602,0.0473110382777499,2.20363783424402,2.21817731659964,2.37380889551711,2.29511371473234,2.37380889551711,2.37380889551711,2.38908678479391
24,30,2.19872603677791,0.0418520348439781,2.11745468334169,2.13034143319077,2.26801642522602,2.19846049585735,2.26801642522602,2.26801642522602,2.28150643048416
25,31,2.14288455661926,0.0375944659056011,2.06982742991132,2.0814243920407,2.2050946384849,2.14266470995181,2.2050946384849,2.2050946384849,2.21719104897094
26,32,2.14193176067511,0.0343380014968464,2.07515341446498,2.08576545949779,2.19872396897554,2.14174826893037,2.19872396897554,2.19872396897554,2.2097528719707
27,33,2.01688798830716,0.0305343847065964,1.95748073144658,1.96692757251563,2.06737401300275,2.01673390009628,2.06737401300275,2.06737401300275,2.07717091324255
28,34,1.69412416641207,0.0256891972737501,1.64414423174099,1.65209181441386,1.73659943501278,1.69399432038767,1.73659943501278,1.73659943501278,1.74484200320108
29,35,1.69028728244333,0.0237106354617569,1.64413111439854,1.65147676063961,1.72947597920912,1.69017641614586,1.72947597920912,1.72947597920912,1.73707349295868
30,36,1.53598851094926,0.0211845370988392,1.49474500919369,1.50130994562485,1.57099928960247,1.53589111882477,1.57099928960247,1.57099928960247,1.57778548279639
31,37,1.43335194722336,0.0193431464039439,1.39568792101348,1.40168439552747,1.46531630216785,1.43326493596388,1.46531630216785,1.46531630216785,1.47151045011638
32,38,1.32961187387833,0.0177376209068917,1.29507143843913,1.30057122824978,1.35892156963505,1.32953299876114,1.35892156963505,1.35892156963505,1.36460054910413
33,39,1.16780573761314,0.015958455873777,1.13673480139679,1.14168097736564,1.19417845594583,1.16773304587249,1.19417845594583,1.19417845594583,1.19928977402969
34,40,1.08743901841913,0.0149132253944121,1.05840382625684,1.06302576794149,1.11208481301785,1.08737084545832,1.11208481301785,1.11208481301785,1.11686163098197
35,41,1.04376368576657,0.0143061887248268,1.01591025381059,1.02034410307491,1.06740622120894,1.04369832462529,1.06740622120894,1.06740622120894,1.0719885588233
36,42,0.958139011311354,0.0135501318443527,0.931763205139362,0.935960501545861,0.98053540508298,0.95807513613437,0.98053540508298,0.98053540508298,0.984877813935752
37,43,0.927654004525673,0.0132643872434996,0.901836389196241,0.905944387584101,0.949579274261243,0.927590783455391,0.949579274261243,0.949579274261243,0.953830899062149
38,44,0.935972495985561,0.0133397646984618,0.910007575902124,0.914139153454132,0.958022010800787,0.935909122620497,0.958022010800787,0.958022010800787,0.962297560758562
39,45,1.07523481277386,0.0143851363051885,1.04722318650837,1.05168328559667,1.09900516244944,1.07517066246019,1.09900516244944,1.09900516244944,1.10361099916376
40,46,1.06489117000548,0.0144062146227807,1.03684055188791,1.04130637092311,1.08869756501154,1.06482620663188,1.08869756501154,1.08869756501154,1.09331096877084
